id,parent,subcategory,name,keywords
51,Текущие расходы,Офис,Хоз.Нужды,"консультативнi послуги;ключі медок;пакети оновлення;програмний комплекс варта;папiр;сейф;заправка катриджу;дiагностика кондицiонерiв;дезинфiкуючiй;кулер;господарські потреби;консультування;інформ. послуги;абонплата"
52,Текущие расходы,Офис,Офисная техника,"ретранслятор;акумулятор;ноутбук;маршрутизатор;монiтор;накопичувач;блок живлення;смартфон;офісна техніка"
53,Текущие расходы,Офис,АйТи нужды,"айті;іт;онлайн-сервiс;ліцензійна плата;ліцензія;пз;s-xpr;q-tvk;m.e.doc;постачання кп;оновлення комп. програми"
54,Текущие расходы,Офис,Телефония,"телефонія;звязок;абонплата;інтернет;телекомунiкацiйнi;право користування пз;електронні комунікаційні;за телефон"
55,Текущие расходы,Офис,Интернет,"iнтернет;доступ до мережi;послуги зв'язку;даталі;пiд'єднання до мережi"
56,Текущие расходы,Офис,Благотворительность,"благодійна допомога;благодiйна;літера;к-23"
57,Текущие расходы,Офис,Обучение персонала,"навчання;вебiнар;журнал;онлайн-платформи;пакет суперпрофесiонал;атестацiї"
58,Текущие расходы,Офис,Прочее,"охорона;вогнегасник;розгляд документiв;засвiдчення обставин;пеня;акт перевiрки;юридичні послуги;вимірювання температури;ki001142;ка000451;послуги охорони;нагляд автомобіля"
59,Текущие расходы,БАЗА Новомосковск,Ремонт поддержание Новомосковск база,"фреон;кабельнi роботи;димових каналiв;ремонт;технічне обслуговування;за ремонт;кабель живлення;брус;плит;виготовлення документації;вібраці;обслуговування"
60,Текущие расходы,БАЗА Новомосковск,Ремонт и запчасти на крановое оборудование общее,"техогляд крану;кранове обладнання"
61,Текущие расходы,БАЗА Новомосковск,кран-1 (КК 12,5),"кран-1;кк 12.5;ремкомплект;антикорозiйний;тяга"
62,Текущие расходы,БАЗА Новомосковск,кран-2 (КК 20,30),"кран-2;кк 20;кк 30;щепорiз"
63,Текущие расходы,БАЗА Новомосковск,кран-3 (КК 12,5 ФМ),"кран-3;кк 12.5 фм;башмак;контактор"
64,Текущие расходы,БАЗА Новомосковск,Ремонт и запчасти на прочее оборудование,"покажчик напруги;кнопки;інше обладнання"
65,Текущие расходы,БАЗА Новомосковск,Инструменты,"інструменти;пили;шлiфмашину;повірку"
66,Текущие расходы,БАЗА Новомосковск,Производственные материалы,"виробничі матеріали;деталі;стропи;катанка;запобiжник;башмак;затиск;за тмц"
67,Текущие расходы,БАЗА Новомосковск,Участок порезки,"кисень;газ скраплений;зварювальну сумiш;участок порізки"
68,Текущие расходы,БАЗА Новомосковск,Спецодежда,"спецодяг;рукавички;електрозахисні засоби;електрозахис"
69,Текущие расходы,БАЗА Новомосковск,Работы по поддержанию и благоутройству территории,"благоустрій;територія"
70,Текущие расходы,БАЗА Новомосковск,Покупка оборудования,"шлак;плити;покупка обладнання"
71,Текущие расходы,БАЗА Новомосковск,Другое,"інше;вивоз тпв;відходи;вивезення тпв;тех.обслуговання;медтехнiка"
72,Текущие расходы,ЦПТ,Ремонт и поддержание АБК,"ремонт абк;цпт"
73,Текущие расходы,ЦПТ,Ремонт и запчасти на крановое оборудование,"кранове обладнання;цпт;башмак"
74,Текущие расходы,ЦПТ,Ремонт и запчасти на прокатный стан,"прокатний стан;цпт"
75,Текущие расходы,ЦПТ,Ремонт и запчасти на прочее оборудование,"прочее оборудование;цпт"
76,Текущие расходы,ЦПТ,Инструменты,"інструменти;цпт"
77,Текущие расходы,ЦПТ,Производственные материалы,"виробничі матеріали;цпт"
78,Текущие расходы,ЦПТ,Мехмастерская,"мехмайстерня;цпт"
79,Текущие расходы,ЦПТ,Спецодежда,"спецодяг;цпт"
80,Текущие расходы,ЦПТ,Работы по поддержанию и благоутройству территории,"благоустрій;територія;цпт"
81,Текущие расходы,ЦПТ,Покупка оборудования,"покупка обладнання;цпт"
82,Текущие расходы,ЦПТ,Другое,"інше;цпт"
83,Текущие расходы,Сварочный участок,Ремонт и запчасти на DAVI,"davi;зварювальний"
84,Текущие расходы,Сварочный участок,Ремонт и запчасти на Fronius,"fronius;фроніус;зварювальний"
85,Текущие расходы,Сварочный участок,Ремонт и запчасти на UZ,"uz;зварювальний"
86,Текущие расходы,Сварочный участок,Ремонт и запчасти на прочее оборудование,"прочее оборудование;зварювальний"
87,Текущие расходы,Сварочный участок,Производственные материалы,"виробничі матеріали;зварювальний;тмц"
88,Текущие расходы,Сварочный участок,Инструменты,"інструменти;зварювальний"
89,Текущие расходы,Сварочный участок,Покупка оборудования,"покупка обладнання;зварювальний"
90,Текущие расходы,Сварочный участок,Другое,"інше;зварювальний"
91,Текущие расходы,База Форпост,,,"форпост;база"
92,Текущие расходы,База Форпост,Ремонт и запчасти на прочее оборудование,"ремонт;запчасти;форпост"
93,Текущие расходы,База Форпост,Спецодежда,"спецодяг;форпост"
94,Текущие расходы,База Форпост,Инструменты,"інструменти;форпост"
95,Текущие расходы,База Форпост,Производственные материалы,"виробничі матеріали;форпост"
96,Текущие расходы,База Форпост,Работы по поддержанию и благоутройству территории,"благоустрій;територія;форпост"
97,Текущие расходы,База Форпост,Покупка оборудования,"покупка обладнання;форпост"
98,Текущие расходы,База Форпост,Солнечная станция текущие расходы,"сонячна станція;форпост"
99,Текущие расходы,База Форпост,Другое,"інше;форпост;вивоз тпв;відходи;вивезення тпв"
100,Текущие расходы,База АНД,Ремонт и поддержание АБК,"ремонт абк;анд"
101,Текущие расходы,База АНД,Ремонт и запчасти на крановое оборудование,"кранове обладнання;анд"
102,Текущие расходы,База АНД,Ремонт и запчасти на прочее оборудование,"інше обладнання;анд"
103,Текущие расходы,База АНД,Инструменты,"інструменти;анд"
104,Текущие расходы,База АНД,Производственные материалы,"виробничі матеріали;анд"
105,Текущие расходы,База АНД,Спецодежда,"спецодяг;анд"
106,Текущие расходы,База АНД,Работы по поддержанию и благоутройству территории,"благоустрій;територія;анд"
107,Текущие расходы,База АНД,Покупка оборудования,"покупка обладнання;анд"
108,Текущие расходы,База АНД,Другое,"інше;анд"
109,Инвестиции,,Стройка офис,"стройка офис"
110,Инвестиции,,Недвижимость,"нерухомість;обслуговування нерухомості;бокси;обслуговування будинку;утримання будинку;обслуговування боксу;нагляд автомобіля;оплата за оренду"
111,Инвестиции,,Солнечная станция,"сонячна станція;ппко;диспетчеризація;фотоелектрика;нотаріальна реєстрація;проведення вимірів"
112,Инвестиции,,РПБ аренда земли,"аренда землі;рпб"
113,Инвестиции,,Инвестиции АБК,"інвестиції;абк"
114,Инвестиции,,Инвестиции ЦЕХ,"інвестиції;цех"
115,Инвестиции,,Тернопіль,"тернопіль;інвестиції тернопіль"
116,Прочее,,Лицензии,"ліцензійна плата;ліцензії;підтримання чинності;пу"
